,RGDPCAP,CNDOVY,CDOVY,CSOVY,GPDIOVY,INF,OPHNFB,PRS85006023,PRS85006173,CE16OV,CNP16OV,FFR,AAA,BAA,TB3MS,TB10Y,URATE,DTFPU,DTFP,SPNOM,GDPDEF,NOMCD,NOMCND,NOMCS,NOMGPDI,CPTCD,CPTCND,CPTCS,CPTGPDI,RGDP,COMPNFB,CAPUTIL,PIPC,WILL5000INDFC,CREDITCMR,RCCT,RICT
1961.25,17236,24.1,7.8,29.1,15.1,0.244,36.126,115.804,111.551,65993,118767,1.7333,4.2833,5.0167,2.3033,3.79,7,2.95,10.54,65.98333333,17.641,236,732,883,84.108,415,4046,7353,344.549,3309.059,7.715,76.3543,1.001657166,-999,206.401,214.7397257,92.23675959
1961.5,17450,23.7,7.8,28.8,16,0.26,36.625,115.97,110.775,65541,119107,1.6833,4.4367,5.1067,2.3033,3.98,6.7667,1.85,3.69,66.83,17.687,242,731,886,90.917,423,4032,7345,371.335,3372.581,7.772,78.4144,0.999700105,-999,208.976,215.1751798,97.9335763
1961.75,17728,23.4,8,28.8,16,0.327,36.967,116.414,110.496,65900,119214,2.4,4.41,5.1133,2.46,3.97,6.2,-3.01,4.7,70.27333333,17.745,252,736,902,92.931,442,4069,7444,377.479,3438.721,7.828,80.6409,0.997998287,-999,214.707,218.5902047,100.9371002
1962,17983,23.2,8,28.5,16.5,0.517,37.582,116.119,109.919,66493,119476,2.4567,4.41,5.0633,2.7233,4.02,5.6333,3.63,1.7,69.86,17.837,257,743,912,98.074,449,4088,7487,397.831,3500.054,7.953,81.1862,0.993500797,-999,217.283,220.5279453,105.341167
1962.25,18113,23,8.1,28.7,16,0.162,37.52,116.663,110.436,66670,119943,2.6067,4.2967,5.0133,2.7167,3.87,5.5333,-1.07,1.34,62.22333333,17.866,263,745,927,96.706,460,4090,7572,394.694,3531.683,8.007,81.3356,0.990502407,-999,223.17,222.7506426,105.2362349
1962.5,18215,23,8.1,28.8,16.1,0.207,38.009,116.613,109.656,67192,120653,2.8467,4.3367,5.0467,2.84,3.99,5.5667,4.15,3.79,57.83,17.903,265,749,935,98.16,461,4106,7607,401.401,3575.07,8.063,81.5601,0.988896734,-999,226.422,224.5634941,106.5557175
1962.75,18212,23.1,8.4,29.1,15.5,0.195,38.331,116.159,109.829,66947,121236,2.9233,4.2567,4.9567,2.8133,3.9,5.5333,4.93,3.75,59.61666667,17.938,275,754,946,94.968,480,4113,7672,389.657,3586.827,8.136,81.6344,0.98283668,-999,232.766,226.6901988,105.8884392
1963,18354,22.9,8.4,28.9,16,0.439,38.458,116.29,109.969,67351,121824,2.9667,4.1967,4.8933,2.9067,3.89,5.7667,-0.76,1.02,65.55,18.017,279,757,952,99.689,488,4122,7681,410.158,3625.981,8.218,82.3156,0.979709702,-999,235.931,227.804099,110.0421711
1963.25,18534,22.6,8.5,28.8,16.1,0.166,38.848,116.525,109.381,67649,122352,2.9633,4.22,4.8533,2.94,3.96,5.7333,0.89,3.18,69.67,18.047,285,756,962,101.65,497,4122,7738,416.683,3666.669,8.259,83.7831,0.978290491,-999,241.56,229.5095113,112.4070683
1963.5,18823,22.5,8.5,28.8,16.2,0.122,39.675,116.214,108.235,68174,122821,3.33,4.2867,4.8367,3.2933,4.03,5.5,4.97,6.02,70.96666667,18.069,288,766,978,104.612,501,4144,7843,429.512,3747.278,8.344,83.5563,0.972341636,-999,244.673,232.6632318,115.245166
